timestamp,lane,score
1778044246.4522047,L2,110
1778044247.5381153,L2,143
1778044248.3138862,L2,166
1778044249.2557392,L2,194
1778044249.9173765,L2,214
1778044250.4888976,L2,231
1778044251.383616,L2,258
1778044252.1425455,L2,281
1778044252.8712988,L2,303
1778044253.5582187,L2,323
1778044254.2222733,L2,343
1778044254.9522605,L2,365
1778044255.725984,L2,388
1778044256.9403212,L2,424
1778044257.646963,L2,446
1778044258.4677312,L2,470
1778044259.376197,L2,498
1778044260.4728513,L2,531
1778044261.1893544,L2,552
1778044261.9185843,L2,574
1778044262.845439,L2,602
1778044263.7256484,L2,628
1778044264.391787,L2,648
1778044265.5115683,L2,682
1778044266.348235,L2,707
1778044267.1141005,L2,730
1778044267.8465853,L2,752
1778044268.7492282,L2,779
1778044269.7297997,L2,808
1778044270.90889,L2,843
1778044271.9068604,L2,873
1778044272.9065974,L2,904
1778044274.6257346,L2,955
1778044277.6484373,L2,1046
1778044278.549374,L2,1073
1778044279.4510102,L2,1100
1778044280.4156542,L2,1129
1778044281.3666859,L2,1157
1778044282.340824,L2,1186
1778044283.2890093,L2,1215
1778044284.1038742,L2,1239
1778044285.1477728,L2,1271
1778044286.271057,L2,1304
1778044287.3986397,L2,1338
1778044288.202269,L2,1362
1778044289.0038004,L2,1386
1778044289.8382192,L2,1411
1778044290.7852764,L2,1440
1778044291.924887,L2,1474
1778044292.7914908,L2,1499
1778044293.6633503,L2,1525
1778044294.57884,L2,1553
1778044295.4257298,L2,1578
1778044296.2335064,L2,1602
1778044297.0851812,L2,1627
1778044298.1042671,L2,1658
1778044299.0110629,L2,1661
1778044299.7821481,L2,1661
1778044300.812185,L2,1661
